CNTRYID,SEQID,booklet_id,item_id,event_name,event_type,timestamp,event_description
ZA6712_US.data,13,L11,6,stimulus,SnapshotRef,93290,http://localhost:8080/cba-runtime/item?custom_service_handler=downloadService&file=/usr/local/jboss-web-2.1.2.GA/temp/snapshot2326752778353017270.xml
ZA6712_US.data,13,L11,6,stimulus,gotoFrame,93290,C308A121
ZA6712_US.data,133,L11,6,stimulus,cba_event,289172,"<cbaloggingmodel:CBAItemLogEntry xmlns:cbaloggingmodel=""http://www.softcon.de/cba/cbaloggingmodel"" name=""de.softcon.cba.runtime.st308balticstock-1278523942"" entryPoint=""C308A120""/> "
ZA6712_US.data,133,L11,6,stimulus,cba_event,451197,"<cbaloggingmodel:TextBlocksLogEntry xmlns:cbaloggingmodel=""http://www.softcon.de/cba/cbaloggingmodel"" id=""TF3"">   <textBlocks textBlockId=""T1"" state=""DESELECTED""/>   <textBlocks textBlockId=""T4"" state=""DESELECTED""/>   <textBlocks textBlockId=""T5"" state=""DESELECTED""/>   <textBlocks textBlockId=""T6"" state=""DESELECTED""/>   <textBlocks textBlockId=""T7"" state=""DESELECTED""/>   <textBlocks textBlockId=""T8"" state=""DESELECTED""/> </cbaloggingmodel:TextBlocksLogEntry> "
ZA6712_US.data,133,L11,6,stimulus,cba_event,452288,"<cbaloggingmodel:TextBlocksLogEntry xmlns:cbaloggingmodel=""http://www.softcon.de/cba/cbaloggingmodel"" id=""TF3"">   <textBlocks textBlockId=""T1"" state=""DESELECTED""/>   <textBlocks textBlockId=""T4"" state=""PARTLY_SELECTED""/>   <textBlocks textBlockId=""T5"" state=""PARTLY_SELECTED""/>   <textBlocks textBlockId=""T6"" state=""DESELECTED""/>   <textBlocks textBlockId=""T7"" state=""DESELECTED""/>   <textBlocks textBlockId=""T8"" state=""PARTLY_SELECTED""/> </cbaloggingmodel:TextBlocksLogEntry> "
ZA6712_US.data,133,L11,6,stimulus,cba_event,452289,"<cbaloggingmodel:HighlightLogEntry xmlns:cbaloggingmodel=""http://www.softcon.de/cba/cbaloggingmodel"" id=""TF3"" isHighlighted=""true""/> "
ZA6712_US.data,133,L11,6,stimulus,cba_event,452289,"<cbaloggingmodel:HighlightTextFieldLogEntry xmlns:cbaloggingmodel=""http://www.softcon.de/cba/cbaloggingmodel"" id=""TF3"">   <highlightedFragment startPosition=""407"" endPosition=""407"" text=""A""/> </cbaloggingmodel:HighlightTextFieldLogEntry> "
ZA6712_US.data,133,L11,6,stimulus,cba_event,456727,"<cbaloggingmodel:TextBlocksLogEntry xmlns:cbaloggingmodel=""http://www.softcon.de/cba/cbaloggingmodel"" id=""TF3"">   <textBlocks textBlockId=""T1"" state=""DESELECTED""/>   <textBlocks textBlockId=""T4"" state=""PARTLY_SELECTED""/>   <textBlocks textBlockId=""T5"" state=""PARTLY_SELECTED""/>   <textBlocks textBlockId=""T6"" state=""DESELECTED""/>   <textBlocks textBlockId=""T7"" state=""DESELECTED""/>   <textBlocks textBlockId=""T8"" state=""PARTLY_SELECTED""/> </cbaloggingmodel:TextBlocksLogEntry> "
ZA6712_US.data,133,L11,6,stimulus,cba_event,456727,"<cbaloggingmodel:HighlightTextFieldLogEntry xmlns:cbaloggingmodel=""http://www.softcon.de/cba/cbaloggingmodel"" id=""TF3"">   <highlightedFragment startPosition=""407"" endPosition=""643"" text=""A joint Baltic stock market would lag behind markets such as Russia, Poland, the Czech Republic and Hungary. It should be noted that the stock market capitalization of any of the above countries would still be five to nine times higher t""/> </cbaloggingmodel:HighlightTextFieldLogEntry> "
ZA6712_US.data,133,L11,6,stimulus,cba_event,459390,"<cbaloggingmodel:TextBlocksLogEntry xmlns:cbaloggingmodel=""http://www.softcon.de/cba/cbaloggingmodel"" id=""TF3"">   <textBlocks textBlockId=""T1"" state=""DESELECTED""/>   <textBlocks textBlockId=""T4"" state=""PARTLY_SELECTED""/>   <textBlocks textBlockId=""T5"" state=""PARTLY_SELECTED""/>   <textBlocks textBlockId=""T6"" state=""DESELECTED""/>   <textBlocks textBlockId=""T7"" state=""DESELECTED""/>   <textBlocks textBlockId=""T8"" state=""PARTLY_SELECTED""/> </cbaloggingmodel:TextBlocksLogEntry> "
